location,season,PAR_total,PAR_mean,PAR_std,UVA_total,UVA_mean,UVA_std,UVB_total,UVB_mean,UVB_std,UV_idx_mean,UV_idx_median,UV_idx_std,gwet_top_mean,gwet_top_median,gwet_top_std,gwet_top_95p,gwet_top_5p,gwet_root_mean,gwet_root_median,gwet_root_std,gwet_root_95p,gwet_root_5p,gwet_prof_mean,gwet_prof_median,gwet_prof_std,gwet_prof_95p,gwet_prof_5p,PAR_x_gwet_root_mean,PAR_x_gwet_root_std,UVB_div_gwet_top_mean,UVB_div_gwet_top_std,max_consecutive_dry_days,gwet_gradient_mean,gwet_gradient_std,UVA_UVB_ratio_mean,UVA_UVB_ratio_median,UVA_UVB_ratio_std,PAR_fraction_mean,PAR_fraction_median,PAR_fraction_std,dry_days_pct,high_UV_days_pct,C3_PAR_active_days_pct,C4_PAR_active_days_pct
Bogura,2021S1,508.03,5.291979166666667,1.735873279265127,58.64,0.6108333333333333,0.2277379226292994,1.26,0.013125,0.0056777497395766,0.7565624999999999,0.745,0.3160407306361835,0.7694791666666667,0.77,0.0881908193296507,0.91,0.6275,0.7679166666666667,0.755,0.1146520288494636,0.96,0.61,0.7434375000000001,0.73,0.10864551847274,0.93,0.59,4.165723958333333,1.786170728784716,0.0167981405151839,0.0062985791844304,0,0.0015625,0.0296054093563641,47.07142857142857,44.5,11.987162445385623,0.8961143407720183,0.8956616605928368,0.0088367443601216,0.0,0.0,0.8229166666666666,0.6770833333333334
Bogura,2021S2,689.25,7.658333333333333,1.5594123424971948,79.65,0.885,0.207917712763725,1.95,0.0216666666666666,0.0076804143146671,1.2521111111111112,1.215,0.3979766083252035,0.4251111111111111,0.42,0.0899968094870738,0.58,0.29,0.4632222222222222,0.44,0.0589768146746122,0.57,0.4,0.4593333333333333,0.44,0.0555220373294557,0.56,0.4,3.488213333333333,0.5391338392961041,0.0555169983146368,0.0267198850095258,4,-0.0381111111111111,0.0378612025914775,43.54074074074074,40.91666666666667,9.78305757036945,0.8948012467745987,0.8940436770734785,0.0041715581378922,0.0666666666666666,0.0333333333333333,1.0,1.0
Bogura,2021S3,771.49,7.953505154639175,2.045928396248833,97.7,1.0072164948453608,0.2620104254765814,2.75,0.0283505154639175,0.0085000505355279,1.6591752577319587,1.69,0.4706924644054862,0.7605154639175258,0.83,0.1577535732164028,0.92,0.404,0.7594845360824742,0.82,0.1764367871577322,0.97,0.42,0.7338144329896908,0.79,0.1669670832016066,0.932,0.42,5.94680206185567,1.9857600998515337,0.0397835922202023,0.0165422305872454,0,0.0010309278350515,0.0449417339470989,36.39347079037801,36.00000000000001,5.338928573622433,0.8846631696757836,0.884678747940692,0.0068445137557472,0.0,0.2268041237113402,0.9690721649484536,0.9175257731958762
Bogura,2021S4,618.66,7.544634146341463,1.7339943149421604,81.01,0.9879268292682928,0.2189579011617995,2.26,0.027560975609756,0.0069497269881107,1.6302439024390245,1.68,0.3849706598079624,0.9214634146341464,0.92,0.0161873255723105,0.94,0.8905,0.9709756097560976,0.97,0.0157613181827592,0.99,0.9405,0.9423170731707315,0.945,0.0177290151027375,0.9695,0.91,7.319278048780488,1.6598892397991751,0.0299378415677752,0.0076060191833077,0,-0.0495121951219511,0.0058589256640416,36.46849593495935,36.0,4.994864307663654,0.8810240077211777,0.8808041309470096,0.0045963217145668,0.0,0.1463414634146341,0.975609756097561,0.9390243902439024
Bogura,2022S1,554.9399999999999,5.780625,1.247178552615969,65.33,0.6805208333333334,0.146361986664403,1.29,0.0134375,0.0047745211939606,0.8322916666666668,0.8,0.2223202013534187,0.78125,0.78,0.0751174518933341,0.91,0.6775,0.7781250000000001,0.77,0.1040881458441026,0.9625,0.65,0.7530208333333334,0.74,0.0996955343102362,0.9325,0.63,4.579983333333334,1.4591682414932343,0.0169667831303333,0.0049607250919223,0,0.0031249999999999,0.0303076332229843,53.619791666666664,54.5,11.962385079834442,0.8925931512166586,0.8929501489625267,0.0040814048273358,0.0,0.0,0.9479166666666666,0.90625
Bogura,2022S2,659.16,7.324,1.75868298527524,76.76,0.8528888888888889,0.2207710922110386,1.84,0.0204444444444444,0.0073302683414424,1.165,1.2,0.3665976271400555,0.5184444444444445,0.485,0.102572650176812,0.6755,0.4,0.5238888888888888,0.505,0.0752179521430506,0.64,0.44,0.5162222222222222,0.5,0.0692427382762625,0.62,0.4345,3.7812377777777777,0.8876593629451671,0.0424765053593016,0.019278173516994,0,-0.0054444444444444,0.0324699034755319,43.98501872659176,42.0,9.995094770719062,0.8937987088631235,0.8925604583005282,0.0043847717600718,0.0,0.0111111111111111,0.9666666666666668,0.9444444444444444
Bogura,2022S3,782.21,8.064020618556702,2.1424385735038274,98.5,1.0154639175257731,0.2908608652866977,2.77,0.0285567010309278,0.0092409517368849,1.6591752577319587,1.58,0.5431844186966122,0.7558762886597938,0.8,0.1343871318346705,0.89,0.4679999999999999,0.7509278350515465,0.78,0.1437016764735394,0.92,0.478,0.7252577319587629,0.76,0.1354475050796522,0.89,0.47,6.062855670103093,2.08363324137836,0.0392201057647002,0.0147238914226265,0,0.0049484536082474,0.0331387144986861,36.29295532646048,35.25,5.393948531308041,0.8856084990043053,0.8856304985337244,0.0076346748882588,0.0,0.268041237113402,0.979381443298969,0.9381443298969072
Bogura,2022S4,641.72,7.825853658536586,1.8278915541889615,84.17,1.0264634146341465,0.225412499523169,2.38,0.0290243902439024,0.0071336026424692,1.693780487804878,1.68,0.4059454449872939,0.8658536585365854,0.87,0.0397508046199236,0.92,0.8,0.8908536585365854,0.895,0.0603324374705779,0.9695,0.8,0.8590243902439024,0.86,0.0607079581924415,0.9395,0.77,6.945784146341463,1.5888480960163227,0.0337664761223075,0.0091078726293113,0,-0.0249999999999999,0.0230538821347182,35.767276422764226,35.333333333333336,4.603178842225371,0.8804373233546489,0.8806786725178015,0.0048832175599391,0.0,0.2317073170731707,0.9634146341463414,0.9634146341463414
Cumilla,2021S1,649.22,6.762708333333333,1.5404930715549396,86.12,0.8970833333333333,0.2189540526982371,1.94,0.0202083333333333,0.0061523066562861,1.1914583333333333,1.21,0.32960575865775,0.8255208333333334,0.82,0.0707533862558297,0.9325,0.72,0.8091666666666667,0.8,0.0939615449523079,0.96,0.67,0.8069791666666667,0.8,0.0921911034829472,0.9425,0.67,5.508978125,1.5891203140965573,0.0243513139149414,0.0066399118132043,0,0.0163541666666666,0.0244139645831369,45.80034722222222,46.99999999999999,8.989552734018517,0.8804230039879353,0.8808814348146887,0.009935960153333,0.0,0.0,0.9583333333333334,0.9479166666666666
Cumilla,2021S2,782.12,8.690222222222221,1.3774149193960337,99.55,1.106111111111111,0.1839925159960909,2.53,0.0281111111111111,0.0065160897567369,1.6626666666666663,1.67,0.3964188002208513,0.4971111111111111,0.49,0.104249532582623,0.68,0.37,0.507888888888889,0.5,0.072739251794066,0.6355,0.42,0.512,0.505,0.0718800498958766,0.64,0.4245,4.351663333333334,0.5706144144593301,0.0605592744917276,0.0232051779023497,0,-0.0107777777777777,0.0357025092051744,40.36333333333334,39.5,6.397431503166164,0.8846004344276263,0.8844624645500723,0.0046702141685091,0.0,0.2111111111111111,1.0,1.0
Cumilla,2021S3,803.63,8.284845360824741,2.0798332832836137,107.52,1.1084536082474226,0.2779888344812071,3.06,0.0315463917525773,0.0084582560980341,1.8589690721649483,2.0,0.5048359563100723,0.7093814432989691,0.77,0.1789076486218383,0.91,0.37,0.6777319587628865,0.71,0.1695367779337714,0.8919999999999999,0.41,0.6660824742268041,0.7,0.1669553127650662,0.88,0.42,5.5206453608247426,1.7860247188251048,0.0486073062848422,0.0211227832537555,0,0.0316494845360824,0.0477772699698632,35.475773195876286,35.0,4.160313225928892,0.8788788839830333,0.8777484608619174,0.0071551742904465,0.0,0.4845360824742268,0.9690721649484536,0.9484536082474226
Cumilla,2021S4,677.79,8.265731707317073,1.2817802343247815,95.38,1.163170731707317,0.1611523169434685,2.78,0.0339024390243902,0.0056121775798342,1.9626829268292685,2.02,0.2813198556561367,0.9118292682926828,0.91,0.0101990133607162,0.93,0.9,0.9228048780487804,0.92,0.0104555957306941,0.94,0.91,0.9156097560975608,0.92,0.0090400427421159,0.93,0.9,7.623815853658537,1.1639241596850909,0.0371984211248407,0.0062379587990716,0,-0.0109756097560975,0.0069583870874057,34.63516260162602,34.0,3.7620551599800143,0.8731225822863001,0.8748073277082753,0.0051741323425881,0.0,0.5121951219512195,1.0,1.0
Cumilla,2022S1,647.0,6.739583333333333,1.5668056116064313,87.68,0.9133333333333334,0.1922206334653607,1.99,0.0207291666666666,0.0052805086809723,1.2088541666666666,1.185,0.2962000383512772,0.8191666666666667,0.82,0.0435688606006065,0.9,0.75,0.7979166666666666,0.8,0.0577821073501525,0.9025,0.7075,0.7956249999999999,0.79,0.058755738801459,0.9025,0.7,5.4025791666666665,1.4207900907161457,0.0252626040645442,0.0059656334932564,0,0.02125,0.0180787749934324,44.838541666666664,45.5,6.122886465515321,0.8769640836613508,0.8793007981059305,0.0082140716796428,0.0,0.0,0.9270833333333334,0.90625
Cumilla,2022S2,764.15,8.490555555555556,1.6953587410704096,98.18,1.090888888888889,0.2360520055270835,2.34,0.026,0.0074652754188075,1.5838888888888891,1.685,0.4225010988469042,0.5582222222222223,0.525,0.1240657471382965,0.74,0.4,0.5527777777777778,0.53,0.0910738406154283,0.69,0.44,0.5555555555555556,0.54,0.0885984643779863,0.69,0.4445,4.628087777777778,0.93661919915778,0.0504199348304524,0.0204495420887132,0,0.0054444444444444,0.0383994707100434,43.63055555555555,42.41666666666667,7.923647129492138,0.8840203657896674,0.8840749414519907,0.0044147528360252,0.0,0.1222222222222222,0.9888888888888888,0.9666666666666668
Cumilla,2022S3,810.57,8.35639175257732,2.1920106759011473,108.25,1.115979381443299,0.295365803544994,3.02,0.0311340206185567,0.0087650214702857,1.8344329896907217,1.91,0.5420562107079027,0.7775257731958763,0.84,0.1508174319046808,0.9139999999999998,0.43,0.7479381443298969,0.82,0.1522876810536139,0.912,0.458,0.7372164948453609,0.8,0.1528666512304733,0.902,0.46,6.226572164948453,2.1081078370060453,0.0422867891209638,0.0170168311102601,0,0.0295876288659793,0.0445560865130772,36.202749140893474,36.0,4.262643014064088,0.879050682083703,0.8793402777777779,0.0064896755489184,0.0,0.422680412371134,0.9690721649484536,0.9690721649484536
Cumilla,2022S4,711.13,8.672317073170731,1.3605793054326436,100.16,1.2214634146341463,0.1653587342436602,2.89,0.0352439024390243,0.0061314026260884,2.0847560975609754,2.135,0.3097080489422978,0.8759756097560976,0.88,0.0224905882151975,0.91,0.84,0.8671951219512195,0.87,0.030480691732693,0.91,0.8105,0.8618292682926829,0.86,0.0301079559142518,0.9,0.81,7.51365487804878,1.1769570834715832,0.0403156881634945,0.0073149088776468,0,0.008780487804878,0.0146051102085384,35.18191056910569,34.0,4.287029598601275,0.8728698046714468,0.8740839418017825,0.0049211163279744,0.0,0.6341463414634146,0.9878048780487804,0.9878048780487804
Muktagacha,2021S1,510.44,5.317083333333334,1.7107190957493297,58.78,0.6122916666666667,0.2231095042287373,1.25,0.0130208333333333,0.005641909282404,0.7538541666666667,0.765,0.3053604248017214,0.7645833333333334,0.78,0.1085203513939513,0.9225,0.5974999999999999,0.7594791666666666,0.745,0.1240913906990087,0.9525,0.5874999999999999,0.7227083333333333,0.71,0.1178802172293344,0.9225,0.56,4.13583125,1.77459122233307,0.0168013243171813,0.0061779746055883,0,0.0051041666666666,0.0233055128633669,47.78021978021978,44.0,12.499824174587593,0.896136752570187,0.8960843373493976,0.0090457608852908,0.0,0.0,0.8333333333333334,0.6770833333333334
Muktagacha,2021S2,687.11,7.634555555555556,1.596519501713277,79.62,0.8846666666666667,0.2134478859112922,1.94,0.0215555555555555,0.0079196968377897,1.2592222222222222,1.23,0.4034492513030959,0.4184444444444445,0.4,0.0674397127546482,0.5455,0.3345,0.4422222222222222,0.43,0.0575877986799634,0.55,0.37,0.4318888888888889,0.42,0.0521642704454985,0.53,0.37,3.3192344444444446,0.5576997382227582,0.0545493185212763,0.0246667018984109,0,-0.0237777777777777,0.0235394852491034,44.05,41.333333333333336,10.108530902349033,0.8945876503930983,0.893883711860549,0.0044443494695348,0.0,0.0333333333333333,1.0,0.9888888888888888
Muktagacha,2021S3,729.15,7.5170103092783505,2.092512029509655,93.08,0.9595876288659794,0.2683084260921141,2.64,0.0272164948453608,0.0083842943503062,1.5803092783505155,1.66,0.4763193379276647,0.7955670103092783,0.88,0.1547845887042493,0.93,0.414,0.7927835051546392,0.89,0.1723413658752668,0.962,0.42,0.7530927835051546,0.84,0.1615250291798341,0.93,0.418,5.838834020618557,1.9014382393602416,0.0364467578992603,0.015493092499413,0,0.0027835051546391,0.0397843737132127,35.71875,35.0,4.6400438909499035,0.8838275788411467,0.883745963401507,0.0070206106191014,0.0,0.1855670103092783,0.9484536082474226,0.8865979381443299
Muktagacha,2021S4,608.16,7.416585365853658,1.7256655323844594,79.93,0.9747560975609756,0.2180170205710027,2.22,0.0270731707317073,0.0069367165673626,1.5917073170731708,1.61,0.3784171219929196,0.916829268292683,0.92,0.0179077229205372,0.94,0.8805,0.9501219512195122,0.96,0.0202145224925677,0.98,0.91,0.9082926829268292,0.91,0.0248851623226402,0.9495,0.86,7.034693902439024,1.596614463257598,0.0295712656311489,0.0076859959293863,0,-0.0332926829268292,0.0064892842438121,36.66056910569106,36.0,5.131246911913592,0.8807061020718135,0.8799313881430046,0.0044154343549038,0.0,0.1707317073170731,0.9878048780487804,0.951219512195122
Muktagacha,2022S1,555.76,5.789166666666667,1.2464658811946914,65.26,0.6797916666666667,0.1445936532542266,1.29,0.0134375,0.0047745211939605,0.830625,0.79,0.2203481097574569,0.7364583333333333,0.74,0.1025257776742966,0.9,0.5974999999999999,0.7305208333333333,0.715,0.1133635956758667,0.9325,0.59,0.6954166666666667,0.68,0.1054206278293287,0.8925000000000001,0.5675,4.313648958333333,1.443694024879437,0.0179642111709785,0.0046957684230681,0,0.0059375,0.0185573435598956,53.677083333333336,52.0,12.334371992774514,0.8927669432808113,0.8933500627352573,0.0044881580704287,0.0,0.0,0.9479166666666666,0.875
Muktagacha,2022S2,664.65,7.385,1.7382531913686714,77.87,0.8652222222222222,0.2207201073594318,1.85,0.0205555555555555,0.0069283834246454,1.1964444444444444,1.23,0.3870409527764375,0.4831111111111111,0.475,0.0727724550378418,0.5954999999999999,0.3745,0.4947777777777778,0.49,0.0565532021123785,0.58,0.41,0.4795555555555556,0.48,0.0519487887653049,0.56,0.4,3.615152222222222,0.8278365080715695,0.044672396440439,0.0186654705779137,0,-0.0116666666666666,0.0242760343280493,44.06851851851851,41.75,9.638661954464284,0.8932997282806338,0.8923344700198921,0.003960390298314,0.0,0.0,0.9666666666666668,0.9555555555555556
Muktagacha,2022S3,736.1899999999999,7.589587628865979,2.446593259652837,94.13,0.9704123711340206,0.319315405482877,2.6,0.0268041237113402,0.0099526369781013,1.5639175257731956,1.58,0.5721570237214731,0.805979381443299,0.85,0.1425998173343152,0.9419999999999998,0.488,0.8069072164948453,0.84,0.1540722288999968,0.97,0.5,0.7672164948453608,0.79,0.1474769916238436,0.9419999999999998,0.49,6.0956567010309275,2.3222155120392394,0.034707146247149,0.0147915163790033,0,-0.0009278350515463,0.0333879492427907,37.1640625,36.333333333333336,5.711298091981176,0.8837865348529481,0.8825271470878578,0.0067837724715848,0.0,0.2371134020618556,0.9278350515463918,0.8556701030927835
Muktagacha,2022S4,629.8,7.680487804878048,1.900929533791833,83.01,1.0123170731707318,0.2376339065286532,2.35,0.0286585365853658,0.0081289294577007,1.671829268292683,1.605,0.4349148577064007,0.8748780487804877,0.88,0.0331939270973733,0.92,0.82,0.8886585365853659,0.89,0.0510086459657976,0.95,0.8005,0.8407317073170731,0.84,0.0517300802672534,0.91,0.76,6.805579268292683,1.6361693698541238,0.032957027294533,0.0099890933870707,0,-0.013780487804878,0.0204057752598777,36.27134146341464,35.16666666666667,5.539185929099575,0.8800530875416136,0.8800041866625453,0.0044944957535693,0.0,0.2560975609756097,0.9634146341463414,0.9390243902439024
